tl_in,tl_out,tl_len,role,tag,file,src_dur,src_in,src_out,label
0.0,0.534,0.534,open,people,IMG_3491.MOV,0.467,0.0,0.467,Opening hero: Fia on mic (window light)
0.534,1.602,1.068,open,people,IMG_3509.JPG,999.0,0.0,1.068,Placard reveal: Mother's Day Edition sign
1.602,3.204,1.602,open,mahjong,IMG_3488.MOV,1.968,0.0,1.602,Wide mahjong table + Fia's signage
3.204,4.807,1.603,build,mahjong,IMG_3479.mov,1.825,0.111,1.714,"Player seated (tile-arranging hands, steadier)"
4.807,6.409,1.602,build,mahjong,IMG_3558.MOV,8.002,3.2,4.802,Tiles being placed / shuffled
6.409,7.477,1.068,build,mixed,IMG_3528.MOV,1.067,0.0,1.067,"Table establishing (clean, non-shaky)"
7.477,8.545,1.068,build,people,IMG_3475.MOV,12.802,5.867,6.935,Reaction
8.545,9.079,0.534,hook1,mahjong,IMG_3552.MOV,5.302,2.384,2.918,Hook pop: tile slam
9.079,9.613,0.534,hook1,people,IMG_3538.MOV,10.968,5.217,5.751,Hook pop: face
9.613,10.147,0.534,hook1,mahjong,IMG_3545.MOV,4.867,2.167,2.701,Hook pop: hand placing
10.147,10.681,0.534,hook1,mahjong,IMG_3519.MOV,4.067,1.767,2.301,Hook pop: tile detail
10.681,11.215,0.534,hook1,mahjong,IMG_3517.JPG,999.0,0.0,0.534,FUN POP: 4 women pointing playfully (JPG freeze)
11.215,12.283,1.068,mid,mahjong,IMG_3531.MOV,4.0,1.466,2.534,Mid hero: longer hold on play
12.283,12.817,0.534,hook2,mahjong,IMG_3499.MOV,1.7,0.583,1.117,FUN POP: smiling woman at red rack
12.817,13.352,0.535,hook2,mahjong,IMG_3498.MOV,3.833,1.649,2.184,Hook2: tiles
13.352,13.886,0.534,hook2,people,IMG_3633.MOV,5.103,2.284,2.818,Hook2: face
13.886,14.42,0.534,hook2,mahjong,IMG_3555.MOV,3.633,1.55,2.084,Hook2: hand
14.42,14.954,0.534,hook2,mixed,IMG_3496.MOV,5.27,2.368,2.902,Hook2: tableau
14.954,15.488,0.534,hook2,people,IMG_3537.MOV,4.5,1.983,2.517,Hook2: smile
15.488,16.556,1.068,mid,mixed,IMG_3535.MOV,5.033,1.983,3.051,Hostess / wide context
16.556,17.624,1.068,mid,mahjong,IMG_3521.MOV,3.433,1.182,2.25,Top-down shuffle hero
17.624,18.158,0.534,hook3,people,IMG_3492.MOV,4.3,1.883,2.417,Final pop: reaction
18.158,18.692,0.534,hook3,mahjong,IMG_3520.MOV,3.0,1.233,1.767,Final pop: tile
18.692,19.226,0.534,hook3,people,IMG_3476.MOV,3.567,1.517,2.051,Final pop: laugh
19.226,19.76,0.534,hook3,mahjong,IMG_3534.MOV,2.8,1.133,1.667,Final pop: play
19.76,20.828,1.068,hook3,mixed,IMG_3495.MOV,4.037,1.484,2.552,Group action 2-beat
20.828,21.362,0.534,close_b,mahjong,IMG_3487.MOV,2.568,1.017,1.551,Close build: tile
21.362,21.896,0.534,close_b,people,IMG_3477.MOV,2.367,0.916,1.45,Close build: smile
21.896,22.43,0.534,close_b,mahjong,IMG_3530.MOV,2.433,0.949,1.483,Close build: hand
22.43,23.498,1.068,close,mahjong,IMG_3478.MOV,1.1,0.016,1.084,Close 1: two players studying tiles up close
23.498,24.566,1.068,close,mahjong,IMG_3518.MOV,2.133,1.065,2.133,Close 2: brand card reveal (trimmed start)
24.566,26.795,2.229,close,?,LOGO_END_CARD,2.229,0.0,2.229,ENDING: logo end card (fade in/out)
